Port of Entry,Type of Visit,Origin,Month,Number of Visitors
NMIA,WED,BRITISH VIRGIN ISLANDS,JULY,1.0
NMIA,WED,BRITISH VIRGIN ISLANDS,AUGUST,0.0
NMIA,WED,BRITISH VIRGIN ISLANDS,SEPTEMBER,0.0
NMIA,WED,BRITISH VIRGIN ISLANDS,OCTOBER,0.0
NMIA,WED,BRITISH VIRGIN ISLANDS,NOVEMBER,0.0
NMIA,WED,BRITISH VIRGIN ISLANDS,DECEMBER,1.0
NMIA,WED,CANADA,JANUARY,42.0
NMIA,WED,CANADA,FEBRUARY,48.0
NMIA,WED,CANADA,MARCH,60.0
NMIA,WED,CANADA,APRIL,84.0
NMIA,WED,CANADA,MAY,103.0
NMIA,WED,CANADA,JUNE,116.0
NMIA,WED,CANADA,JULY,214.0
NMIA,WED,CANADA,AUGUST,192.0
NMIA,WED,CANADA,SEPTEMBER,47.0
NMIA,WED,CANADA,OCTOBER,177.0
NMIA,WED,CANADA,NOVEMBER,95.0
NMIA,WED,CANADA,DECEMBER,107.0
NMIA,WED,CAYMAN ISLANDS,JANUARY,1.0
NMIA,WED,CAYMAN ISLANDS,FEBRUARY,4.0
NMIA,WED,CAYMAN ISLANDS,MARCH,7.0
NMIA,WED,CAYMAN ISLANDS,APRIL,21.0
NMIA,WED,CAYMAN ISLANDS,MAY,3.0
NMIA,WED,CAYMAN ISLANDS,JUNE,12.0
NMIA,WED,CAYMAN ISLANDS,JULY,14.0
NMIA,WED,CAYMAN ISLANDS,AUGUST,15.0
NMIA,WED,CAYMAN ISLANDS,SEPTEMBER,6.0
NMIA,WED,CAYMAN ISLANDS,OCTOBER,9.0
NMIA,WED,CAYMAN ISLANDS,NOVEMBER,11.0
NMIA,WED,CAYMAN ISLANDS,DECEMBER,10.0
NMIA,WED,CHILE,JANUARY,0.0
NMIA,WED,CHILE,FEBRUARY,0.0
NMIA,WED,CHILE,MARCH,0.0
NMIA,WED,CHILE,APRIL,0.0
NMIA,WED,CHILE,MAY,0.0
NMIA,WED,CHILE,JUNE,0.0
NMIA,WED,CHILE,JULY,0.0
NMIA,WED,CHILE,AUGUST,1.0
NMIA,WED,CHILE,SEPTEMBER,2.0
NMIA,WED,CHILE,OCTOBER,0.0
NMIA,WED,CHILE,NOVEMBER,1.0
NMIA,WED,CHILE,DECEMBER,0.0
NMIA,WED,CHINA,JANUARY,1.0
NMIA,WED,CHINA,FEBRUARY,3.0
NMIA,WED,CHINA,MARCH,0.0
NMIA,WED,CHINA,APRIL,0.0
NMIA,WED,CHINA,MAY,0.0
NMIA,WED,CHINA,JUNE,0.0
NMIA,WED,CHINA,JULY,0.0
NMIA,WED,CHINA,AUGUST,0.0
NMIA,WED,CHINA,SEPTEMBER,0.0
NMIA,WED,CHINA,OCTOBER,2.0
NMIA,WED,CHINA,NOVEMBER,0.0
NMIA,WED,CHINA,DECEMBER,0.0
NMIA,WED,COLOMBIA,JANUARY,4.0
NMIA,WED,COLOMBIA,FEBRUARY,0.0
NMIA,WED,COLOMBIA,MARCH,2.0
NMIA,WED,COLOMBIA,APRIL,0.0
NMIA,WED,COLOMBIA,MAY,0.0
NMIA,WED,COLOMBIA,JUNE,0.0
NMIA,WED,COLOMBIA,JULY,2.0
NMIA,WED,COLOMBIA,AUGUST,0.0
NMIA,WED,COLOMBIA,SEPTEMBER,0.0
NMIA,WED,COLOMBIA,OCTOBER,4.0
NMIA,WED,COLOMBIA,NOVEMBER,4.0
NMIA,WED,COLOMBIA,DECEMBER,0.0
NMIA,WED,COSTA RICA,JANUARY,0.0
NMIA,WED,COSTA RICA,FEBRUARY,0.0
NMIA,WED,COSTA RICA,MARCH,0.0
NMIA,WED,COSTA RICA,APRIL,0.0
NMIA,WED,COSTA RICA,MAY,0.0
